"","day","quarter","doq","gdp_gr","prediction_pmi_bench","prediction_news","se_pmi_bench","se_news","nowcast_number","mse_pmi_bench","mse_news","quarter_of_nc"
"2974","2006-03-17",2006-01-01,76,1.34538376848747,0.911737945533434,0.899573743905752,0.188048699765483,0.198746578017552,1,0.30375201179767,0.330609678666759,2006-01-01
"2975","2006-03-18",2006-01-01,77,1.34538376848747,0.911737945533434,0.9007021411874,0.188048699765483,0.197741749658239,1,0.30375201179767,0.330123179992652,2006-01-01
"2976","2006-03-19",2006-01-01,78,1.34538376848747,0.911737945533434,0.901726783793868,0.188048699765483,0.196831520067419,1,0.30375201179767,0.329655027359311,2006-01-01
"2977","2006-03-20",2006-01-01,79,1.34538376848747,0.911737945533434,0.902824071898188,0.188048699765483,0.195859085045198,1,0.30375201179767,0.329167409465684,2006-01-01
"2978","2006-03-21",2006-01-01,80,1.34538376848747,0.911737945533434,0.903959893160935,0.188048699765483,0.194855037708297,1,0.30375201179767,0.328636845897674,2006-01-01
"2979","2006-03-22",2006-01-01,81,1.34538376848747,0.911737945533434,0.905148740428305,0.188048699765483,0.193806879930254,1,0.303779225318676,0.328215485272401,2006-01-01
"2980","2006-03-23",2006-01-01,82,1.34538376848747,0.911737945533434,0.906260897644543,0.188048699765483,0.192828895697334,1,0.303702666061074,0.32724757491399,2006-01-01
"2981","2006-03-24",2006-01-01,83,1.34538376848747,0.911737945533434,0.907469366036054,0.188048699765483,0.191769023874381,1,0.30373473598097,0.326984394685158,2006-01-01
"2982","2006-03-25",2006-01-01,84,1.34538376848747,0.911737945533434,0.908732950194346,0.188048699765483,0.190663937116055,1,0.298046480805252,0.321290539312866,2006-01-01
"2983","2006-03-26",2006-01-01,85,1.34538376848747,0.911737945533434,0.909902422112081,0.188048699765483,0.189644003040921,1,0.297939208739342,0.320672569777874,2006-01-01
"2984","2006-03-27",2006-01-01,86,1.34538376848747,0.911737945533434,0.911257198221922,0.188048699765483,0.188465879010528,1,0.297598236328571,0.319850027306836,2006-01-01
"2985","2006-03-28",2006-01-01,87,1.34538376848747,0.911737945533434,0.912511756376538,0.188048699765483,0.187378178868967,1,0.297623869934025,0.319679583851865,2006-01-01
"2986","2006-03-29",2006-01-01,88,1.34538376848747,0.911737945533434,0.913910536112177,0.188048699765483,0.186169150256383,1,0.297564272137469,0.319737004640529,2006-01-01
