"day","quarter","doq","gdp_gr","prediction_bench_dfm","prediction_news_dfm","se_dfm_bench","se_dfm_news"
"2014-05-16",2014-04-01,46,1.2918421292133,0.435005513082906,0.44500422665396,0.734168986741785,0.717134433211103
"2014-05-17",2014-04-01,47,1.2918421292133,0.431919703685419,0.442036157196624,0.739466577925754,0.722170190075208
"2014-05-18",2014-04-01,48,1.2918421292133,0.427991754008166,0.4382754587335,0.746237470742051,0.728576060953971
"2014-05-19",2014-04-01,49,1.2918421292133,0.450280214495154,0.461449811214259,0.708226456304073,0.68955140179182
"2014-05-20",2014-04-01,50,1.2918421292133,0.447443632241616,0.457982055451177,0.713008821688039,0.695322622614574
"2014-05-21",2014-04-01,51,1.2918421292133,0.446389504693617,0.456053963906731,0.71479014030722,0.698541857266521
"2014-05-22",2014-04-01,52,1.2918421292133,0.445084822663439,0.453975869408893,0.716997936195575,0.702019869318626
"2014-05-23",2014-04-01,53,1.2918421292133,0.443863836850112,0.451684337861921,0.719067184319188,0.705865114368427
"2014-05-24",2014-04-01,54,1.2918421292133,0.444269132423654,0.450658523544016,0.718379984886982,0.707589858446777
"2014-05-25",2014-04-01,55,1.2918421292133,0.444507507468767,0.449348512267699,0.71797596120695,0.709795494594082
"2014-05-26",2014-04-01,56,1.2918421292133,0.444772566952986,0.448096808830417,0.71752684330788,0.711906165668013
"2014-05-27",2014-04-01,57,1.2918421292133,0.446851798919369,0.448268925785973,0.714008658290246,0.711615749540643
"2014-05-28",2014-04-01,58,1.2918421292133,0.452092324709562,0.452231870944185,0.705179734164065,0.70494538579073
"2014-05-29",2014-04-01,59,1.2918421292133,0.462563321241779,0.464454867042625,0.687703341350666,0.684569681602285
"2014-05-30",2014-04-01,60,1.2918421292133,0.489108996317781,0.494701795324826,0.644380482648256,0.635432711911827
"2014-06-01",2014-04-01,62,1.2918421292133,0.525883628064086,0.492621415517523,0.58669242548275,0.638753749200387
"2014-06-02",2014-04-01,63,1.2918421292133,0.52206327028142,0.495387912669038,0.592559491658467,0.634339319051135
"2014-06-03",2014-04-01,64,1.2918421292133,0.491005409683699,0.478708610982315,0.641339451346933,0.6611861184707
"2014-06-04",2014-04-01,65,1.2918421292133,0.494599024941782,0.484062334371938,0.635596567308486,0.652508196953953
"2014-06-05",2014-04-01,66,1.2918421292133,0.498832580926299,0.490972751407655,0.628864143674353,0.641391760306801
"2014-06-06",2014-04-01,67,1.2918421292133,0.501849403640371,0.496817701818857,0.624088506458145,0.632063840153862
"2014-06-07",2014-04-01,68,1.2918421292133,0.503457438408735,0.501563542732798,0.62155042069501,0.62454024424962
"2014-06-08",2014-04-01,69,1.2918421292133,0.503748317600436,0.505094390937007,0.621091855902492,0.618972003682863
"2014-06-09",2014-04-01,70,1.2918421292133,0.504344915847505,0.507700329585883,0.620151861058893,0.614878361922924
"2014-06-10",2014-04-01,71,1.2918421292133,0.504586462143701,0.509896764653956,0.6197714853332,0.611438553155846
"2014-06-11",2014-04-01,72,1.2918421292133,0.504510300694279,0.511915763209871,0.619891408199105,0.608285136387314
"2014-06-12",2014-04-01,73,1.2918421292133,0.519924404670533,0.529553582488683,0.595856973463283,0.581083828467529
"2014-06-13",2014-04-01,74,1.2918421292133,0.519823131940127,0.531166926416788,0.596013332150675,0.578626764149515
"2014-06-14",2014-04-01,75,1.2918421292133,0.518809733893299,0.531004249908288,0.597579084214178,0.578874278585347
"2014-06-15",2014-04-01,76,1.2918421292133,0.517401767936243,0.530125973236491,0.599757873174938,0.580211502276086
"2014-06-16",2014-04-01,77,1.2918421292133,0.51621690299128,0.529238045099997,0.60159449155196,0.581564989106289
"2014-06-17",2014-04-01,78,1.2918421292133,0.493779344946872,0.502634589594752,0.636904207631083,0.622848540590762
"2014-06-18",2014-04-01,79,1.2918421292133,0.492116018521069,0.501205911112254,0.639561852122923,0.625105629373124
"2014-06-19",2014-04-01,80,1.2918421292133,0.508372908336605,0.518018680752425,0.613824020061135,0.59880272938788
"2014-06-20",2014-04-01,81,1.2918421292133,0.508415839125777,0.518168024898066,0.613756752000299,0.59857161968798
"2014-06-21",2014-04-01,82,1.2918421292133,0.50767516557787,0.516920972489501,0.61491782685721,0.600502799138151
"2014-06-22",2014-04-01,83,1.2918421292133,0.506551467745781,0.515572816919358,0.616681422988093,0.60259404520931
"2014-06-23",2014-04-01,84,1.2918421292133,0.505513833277375,0.5140641006754,0.618312188989496,0.604938661676303
"2014-06-24",2014-04-01,85,1.2918421292133,0.505897316971861,0.513846515126127,0.617709247889231,0.605277175538877
"2014-06-25",2014-04-01,86,1.2918421292133,0.465735589138944,0.475485465137468,0.682452015553624,0.666438202981021
"2014-06-26",2014-04-01,87,1.2918421292133,0.465447520239282,0.474084698601207,0.682928049741319,0.668727215321293
"2014-06-27",2014-04-01,88,1.2918421292133,0.475998998801406,0.48627917891264,0.665600013440279,0.648931666897103
"2014-06-28",2014-04-01,89,1.2918421292133,0.479917524803128,0.489836853303378,0.659221563246614,0.643212462587351
"2014-06-29",2014-04-01,90,1.2918421292133,0.469615652558388,0.469673436017498,0.67605637891235,0.675961360071293
"2014-07-01",2014-07-01,1,1.2153914093168,0.643795848748144,0.581822241574498,0.326721484861796,0.401409890313673
"2014-07-02",2014-07-01,2,1.2153914093168,0.613355825253453,0.560548061089347,0.362446844478495,0.428819810717742
"2014-07-03",2014-07-01,3,1.2153914093168,0.617173815316444,0.568271033059801,0.357864289771575,0.418764781366999
"2014-07-04",2014-07-01,4,1.2153914093168,0.629422123444401,0.582329269156604,0.343360003985809,0.400767673304207
