"day","pmi","quarter","pmi_available","news","cci","cci_available","doq","gdp_gr","news_aoq","news_diff","news_diff_aoq","year","qoy"
2004-07-01,61.1,2004-07-01,0,0.303067892789841,101.9,0,1,0.948593888793085,0.303067892789841,-0.0450193881988525,-0.0450193881988525,2004,3
2004-07-02,61.1,2004-07-01,0,0.30389866232872,101.9,0,2,0.948593888793085,0.30348327755928,0.0830769538879395,0.0190287828445435,2004,3
2004-07-03,61.1,2004-07-01,0,0.306953012943268,101.9,0,3,0.948593888793085,0.30463985602061,0.305435061454773,0.114497542381287,2004,3
2004-07-04,61.1,2004-07-01,0,0.30781614780426,101.9,0,4,0.948593888793085,0.305433928966522,0.0863134860992432,0.107451528310776,2004,3
2004-07-05,61.1,2004-07-01,0,0.311458140611649,101.9,0,5,0.948593888793085,0.306638771295548,0.364199280738831,0.158801078796387,2004,3
2004-07-06,61.1,2004-07-01,0,0.316795140504837,101.9,0,6,0.948593888793085,0.308331499497096,0.533699989318848,0.22128423055013,2004,3
2004-07-07,61.1,2004-07-01,0,0.313637733459473,101.9,0,7,0.948593888793085,0.309089532920292,-0.315740704536438,0.14456638268062,2004,3
2004-07-08,61.1,2004-07-01,0,0.320378959178925,101.9,0,8,0.948593888793085,0.310500711202621,0.67412257194519,0.210760906338692,2004,3
2004-07-09,61.1,2004-07-01,0,0.311854124069214,101.9,0,9,0.948593888793085,0.310651090410021,-0.852483510971069,0.0926226377487183,2004,3
2004-07-10,61.1,2004-07-01,0,0.318555653095245,101.9,0,10,0.948593888793085,0.311441546678543,0.670152902603149,0.150375664234161,2004,3
2004-07-11,61.1,2004-07-01,0,0.322228401899338,101.9,0,11,0.948593888793085,0.312422169880434,0.367274880409241,0.170093774795532,2004,3
2004-07-12,61.1,2004-07-01,0,0.315037608146667,101.9,0,12,0.948593888793085,0.312640123069286,-0.719079375267029,0.0959960122903188,2004,3
2004-07-13,61.1,2004-07-01,0,0.342352539300919,101.9,0,13,0.948593888793085,0.314925693548643,2.73149311542511,0.298726558685303,2004,3
2004-07-14,61.1,2004-07-01,0,0.328635454177856,101.9,0,14,0.948593888793085,0.315904962165015,-1.37170851230621,0.179409767900194,2004,3
2004-07-15,61.1,2004-07-01,0,0.324316114187241,101.9,0,15,0.948593888793085,0.316465705633163,-0.431933999061584,0.138653516769409,2004,3
